feature,importance
2026vi0731y.pv_dominant_freq,0.0
2026vi0735x.pv_min,0.0
2026ti0734.pv_std,0.0
2026ti0733.pv_p2p,0.0
2026vi0733x.pv_rms,0.0
2026vi0732y.pv_crest,0.0
2026ti0733.pv_std,0.0
2026vi0733x.pv_min,0.0
2026ti0732.pv_skew,0.0
2026ti0731.pv_p2p,0.0
2026vi0737x.pv_min,0.0
2026ti0732.pv_rms,0.0
2026vi0736y.pv_kurt,0.0
2026ti0725.pv_std,0.0
2026ti0731.pv_min,0.0
2026vi0736x.pv_min,0.0
2026ti0731.pv_rms,0.0
2026ti0724.pv_max,0.0
2026ti0724.pv_min,0.0
2026ti0724.pv_rms,0.0
2026ti0724.pv_kurt,0.0
2026vi0738y.pv_min,0.0
2026vi0738x.pv_rms,0.0
2026vi0738y.pv_p2p,0.0
2026ti0724.pv_std,0.0
2026ti0730.pv_skew,0.0
2026ti0725.pv_crest,0.0
2026ti0725.pv_max,0.0
2026ti0725.pv_rms,0.0
2026vi0734y.pv_std,0.0
2026vi0734x.pv_kurt,0.0
2026vi0737x.pv_p2p,0.0
2026vi0737y.pv_p2p,0.0
2026vi0731x.pv_band_high,0.0
2026vi0731x.pv_band_mid,0.0
2026vi0731x.pv_band_low,0.0
2026vi0731x.pv_peak_freq_mag,0.0
2026vi0731x.pv_dominant_freq,0.0
2026vi0732x.pv_band_mid,0.0
2026vi0732y.pv_spectral_centroid,0.0
2026ti0746.pv_crest,0.0
2026vi0734x.pv_std,0.0
2026vi0731y.pv_spectral_centroid,0.0
2026vi0731y.pv_spectral_entropy,0.0
2026vi0731y.pv_mean,0.0
2026vi0731y.pv_min,0.0
2026ti0736.pv_kurt,0.0
2026ti0736.pv_std,0.0
2026ti0737.pv_min,0.0
2026ti0738.pv_kurt,0.0
2026ti0738.pv_rms,0.0
2026ti0738.pv_std,0.0
2026ti0737.pv_p2p,0.0
2026ti0737.pv_kurt,0.0
2026ti0737.pv_skew,0.0
2026ti0737.pv_max,0.0
2026ti0734.pv_rms,0.0
2026ti0735.pv_crest,0.0
2026ti0735.pv_skew,0.0
2026ti0735.pv_std,0.0
2026ti0734.pv_p2p,0.0
2026vi0736x.pv_std,0.0
2026vi0735y.pv_min,0.0
2026ti0734.pv_kurt,0.0
2026vi0735x.pv_p2p,0.0
2026ti0742.pv_p2p,0.0
2026ti0742.pv_crest,0.0
2026ti0742.pv_min,0.0
2026ti0741.pv_min,0.0
2026ti0741.pv_kurt,0.0
2026ti0741.pv_rms,0.0
2026ti0741.pv_p2p,0.0
2026ti0742.pv_std,0.0
2026ti0739.pv_p2p,0.0
2026ti0740.pv_mean,0.0
2026ti0740.pv_max,0.0
2026ti0740.pv_std,0.0
2026ti0740.pv_rms,0.0
2026ti0740.pv_p2p,0.0
2026ti0741.pv_mean,0.0
2026ti0741.pv_std,0.0
2026ti0738.pv_crest,0.0
2026ti0739.pv_skew,0.0
2026ti0739.pv_std,0.0
2026ti0739.pv_max,0.0
2026ti0738.pv_p2p,0.0
2026ti0737.pv_std,0.0
2026ti0745.pv_kurt,0.0
2026ti0745.pv_max,0.0
2026ti0745.pv_std,0.0
2026ti0744.pv_crest,0.0
2026ti0744.pv_p2p,0.0
2026ti0744.pv_std,0.0
2026ti0743.pv_kurt,0.0
2026ti0744.pv_mean,0.0
2026ti0743.pv_crest,0.0
2026ti0743.pv_p2p,0.0
2026vi0732y.pv_band_high,0.0
2026vi0732y.pv_band_mid,0.0
2026vi0732y.pv_band_low,0.0
2026vi0732y.pv_peak_freq_mag,0.0
2026vi0732y.pv_dominant_freq,0.0
